COP_x;COP_y;Acc_x;Acc_y;Jerk_x;Jerk_y;Class
0,318892699;0,137036148;0,407431473;0,13983389;0,401065069;0,190056632;Healthy
0,320180384;0,133323596;0,276865833;0,085613653;0,208161417;0,209515612;Healthy
0,323649257;0,128402214;0,231052565;0,179209033;0,262552007;0,256719782;Healthy
0,329268479;0,124816619;0,264543332;0,149006392;0,153194843;0,159866561;Healthy
0,335013013;0,119085574;0,299651794;0,110003206;0,198192067;0,162565181;Healthy
0,343063411;0,115873467;0,306219594;0,112218164;0,302631646;0,215981867;Healthy
0,351889354;0,115697024;0,308028316;0,174657204;0,201473235;0,232757051;Healthy
0,363336829;0,116574512;0,332209516;0,161002885;0,30257056;0,245565221;Healthy
0,370786511;0,120351648;0,422935309;0,137144024;0,260606492;0,292367487;Healthy
0,375981603;0,125316458;0,253903651;0,208086015;0,284078274;0,216082431;Healthy
0,374021251;0,135569211;0,252224945;0,157924784;0,121828016;0,24293972;Healthy
0,369884654;0,142508407;0,237967965;0,144802481;0,305878307;0,272444937;Healthy
0,367256307;0,148308275;0,206547229;0,168836939;0,172452267;0,306160907;Healthy
0,367430586;0,155942733;0,209785879;0,163535545;0,243516086;0,230008862;Healthy
0,372083863;0,162589136;0,217336629;0,124484405;0,196014279;0,176008712;Healthy
0,383603513;0,170467251;0,235837149;0,123228217;0,187841994;0,13553637;Healthy
0,405020074;0,175666689;0,247899176;0,103564429;0,177432793;0,16754029;Healthy
0,42978489;0,18132225;0,238391781;0,141934337;0,175002025;0,264362855;Healthy
0,455634429;0,185750483;0,196358289;0,153047596;0,165510329;0,253542108;Healthy
0,480505289;0,187863784;0,207303724;0,156529311;0,159890201;0,199405991;Healthy
0,502658583;0,190021998;0,270976031;0,114498958;0,218914824;0,123633262;Healthy
0,521995708;0,190204738;0,330219136;0,105784489;0,250875258;0,107648251;Healthy
0,537747178;0,190146232;0,312915229;0,137281243;0,221741262;0,152749075;Healthy
0,550043604;0,187734788;0,27842235;0,100564745;0,121638435;0,221685473;Healthy
0,559509353;0,182635357;0,24738052;0,201176682;0,246921031;0,2023457;Healthy
0,564253401;0,179120459;0,343142728;0,109197236;0,20337989;0,162632906;Healthy
0,567255001;0,173947903;0,399076716;0,131423251;0,306808863;0,108514097;Healthy
0,56688014;0,16818982;0,553576279;0,151711621;0,208444375;0,183518221;Healthy
0,560536133;0,163367394;0,484795007;0,171793491;0,325292955;0,215841722;Healthy
0,546379374;0,160170728;0,306556147;0,175519878;0,13625276;0,202361542;Healthy
0,527705908;0,155393351;0,234350457;0,188559935;0,195591855;0,147589599;Healthy
0,511998174;0,149935762;0,210914154;0,152348012;0,175242018;0,142449394;Healthy
0,502308322;0,14369466;0,179396366;0,138487381;0,141559148;0,16513217;Healthy
0,499620245;0,136581463;0,17670323;0,100702826;0,155527991;0,200259026;Healthy
